metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,carpet,5,top_left,top_right,1926,16.891047,17.047535,-0.156487,2.594258,-2.6472,1925,0.008181262184112205,0.08181262184112205,-0.0603,False,False
psnr,True,carpet,5,top_left,center,1926,16.891047,19.716304,-2.825256,4.109727,-30.1698,1925,4.527119009447698e-164,4.527119009447698e-163,-0.6875,True,True
psnr,True,carpet,5,top_left,bottom_left,1926,16.891047,15.953963,0.937085,4.066971,10.112,1925,1.8622182762377785e-23,1.8622182762377785e-22,0.2304,True,True
psnr,True,carpet,5,top_left,bottom_right,1926,16.891047,16.26665,0.624397,4.779709,5.7331,1925,1.142528695085836e-08,1.142528695085836e-07,0.1306,True,True
psnr,True,carpet,5,top_right,center,1926,17.047535,19.716304,-2.668769,4.153931,-28.1955,1925,1.047957928334146e-146,1.047957928334146e-145,-0.6425,True,True
psnr,True,carpet,5,top_right,bottom_left,1926,17.047535,15.953963,1.093572,4.197664,11.4332,1925,2.4654106700434664e-29,2.4654106700434664e-28,0.2605,True,True
psnr,True,carpet,5,top_right,bottom_right,1926,17.047535,16.26665,0.780885,4.771286,7.1826,1925,9.734866087119292e-13,9.734866087119292e-12,0.1637,True,True
psnr,True,carpet,5,center,bottom_left,1926,19.716304,15.953963,3.762341,3.622247,45.5836,1925,2.4254071266502584e-308,2.4254071266502584e-307,1.0387,True,True
psnr,True,carpet,5,center,bottom_right,1926,19.716304,16.26665,3.449654,4.033903,37.53,1925,8.308627710507976e-232,8.308627710507976e-231,0.8552,True,True
psnr,True,carpet,5,bottom_left,bottom_right,1926,15.953963,16.26665,-0.312687,2.621343,-5.235,1925,1.8301826894038476e-07,1.8301826894038476e-06,-0.1193,True,True
psnr,True,carpet,10,top_left,top_right,1926,16.30424,16.310147,-0.005906,1.653534,-0.1568,1925,0.8754513346757746,1.0,-0.0036,False,False
